community_id,protein_id,membership_type,membership_score,topology_score,semantic_score,go_score,expansion_gain,gold_supported
9,YCR063W,outer_orbit,0.037471322011612324,0.20689655172413793,-0.13195390770091328,0.0,0.0,0.0
9,YCR077C,outer_orbit,0.1345976036310526,0.13793103448275862,0.13126417277934663,0.0,0.0,0.0
9,YDL030W,outer_orbit,0.062342782428387915,0.12643678160919541,-0.0017512167524195794,0.0,0.0,0.0
9,YDL043C,uncertain_orbit,0.04262452833836781,0.05747126436781609,0.027777792308919528,0.0,0.0,0.0
9,YDL087C,outer_orbit,-0.009393615102920791,0.2413793103448276,-0.2601665405506692,0.0,0.0,0.0
9,YDL098C,outer_orbit,0.11146499095038373,0.12643678160919541,0.09649320029157203,0.0,0.0,0.0
9,YDL160C,uncertain_orbit,0.003571459356366491,0.08045977011494253,-0.07331685140220955,0.0,0.0,0.0
9,YDL209C,outer_orbit,0.07218096162451905,0.21839080459770116,-0.07402888134866306,0.0,0.0,0.0
9,YDR037W,uncertain_orbit,0.06798020621234967,0.04597701149425287,0.08998340093044646,0.0,0.0,0.0
9,YDR235W,outer_orbit,0.04380715492623541,0.13793103448275862,-0.0503167246302878,0.0,0.0,0.0
9,YDR240C,inner_orbit,0.23071878139957647,0.19540229885057472,0.26603526394857824,0.0,0.0,0.0
9,YDR364C,outer_orbit,-0.006919813221482912,0.14942528735632185,-0.16326491379928768,0.0,0.0,0.0
9,YDR378C,inner_orbit,0.06879040094955857,0.25287356321839083,-0.11529276131927367,0.0,0.0,0.0
9,YDR416W,outer_orbit,0.12492796318149113,0.1724137931034483,0.07744213325953399,0.0,0.0,0.0
9,YDR473C,outer_orbit,0.13662111114595646,0.21839080459770116,0.05485141769421178,0.0,0.0,0.0
9,YER013W,uncertain_orbit,0.03218039068473597,0.08045977011494253,-0.016098988745470586,0.0,0.0,0.0
9,YER029C,inner_orbit,0.3032160982105614,0.5402298850574713,0.0662023113636515,0.0,0.0,0.0
9,YER112W,inner_orbit,0.17804477486841064,0.3448275862068966,0.011261963529924673,0.0,0.0,0.0
9,YER146W,outer_orbit,0.12458764985067453,0.14942528735632185,0.09975001234502719,0.0,0.0,0.0
9,YER172C,inner_orbit,0.27955985997719646,0.5287356321839081,0.030384087770484812,0.0,0.0,0.0
9,YGL049C,uncertain_orbit,-0.01190905763965782,0.06896551724137931,-0.09278363252069495,0.0,0.0,0.0
