gold_complex_id,gold_size,best_candidate_id,best_jaccard,category
CPX-1362,3,,0.0,best_jaccard_eq_0
CPX-1363,3,42.0,0.2,best_jaccard_between_0_and_0.5
CPX-1364,8,,0.0,best_jaccard_eq_0
CPX-1370,2,,0.0,best_jaccard_eq_0
CPX-1371,2,,0.0,best_jaccard_eq_0
CPX-1372,3,220.0,0.14285714285714285,best_jaccard_between_0_and_0.5
CPX-1377,2,293.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-1378,2,293.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-1379,2,,0.0,best_jaccard_eq_0
CPX-1380,3,172.0,0.1111111111111111,best_jaccard_between_0_and_0.5
CPX-1381,2,157.0,0.14285714285714285,best_jaccard_between_0_and_0.5
CPX-1382,3,741.0,0.125,best_jaccard_between_0_and_0.5
CPX-1383,7,222.0,0.6363636363636364,best_jaccard_ge_0.5
CPX-1384,3,298.0,0.25,best_jaccard_between_0_and_0.5
CPX-1386,4,,0.0,best_jaccard_eq_0
CPX-1387,5,,0.0,best_jaccard_eq_0
CPX-1407,2,,0.0,best_jaccard_eq_0
CPX-1408,4,66.0,0.2222222222222222,best_jaccard_between_0_and_0.5
CPX-1409,7,774.0,0.23076923076923078,best_jaccard_between_0_and_0.5
CPX-1410,6,358.0,0.23076923076923078,best_jaccard_between_0_and_0.5
CPX-1412,2,173.0,0.2222222222222222,best_jaccard_between_0_and_0.5
CPX-1413,2,,0.0,best_jaccard_eq_0
CPX-1414,2,302.0,1.0,best_jaccard_ge_0.5
CPX-1415,2,50.0,0.058823529411764705,best_jaccard_between_0_and_0.5
CPX-1417,2,,0.0,best_jaccard_eq_0
CPX-1418,20,350.0,0.5714285714285714,best_jaccard_ge_0.5
CPX-1419,4,151.0,0.1111111111111111,best_jaccard_between_0_and_0.5
CPX-1420,2,150.0,0.14285714285714285,best_jaccard_between_0_and_0.5
CPX-1421,5,17.0,0.5,best_jaccard_ge_0.5
CPX-1422,3,,0.0,best_jaccard_eq_0
CPX-1423,4,225.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1424,2,,0.0,best_jaccard_eq_0
CPX-1425,2,62.0,0.25,best_jaccard_between_0_and_0.5
CPX-1426,3,699.0,0.10526315789473684,best_jaccard_between_0_and_0.5
CPX-1470,2,151.0,0.14285714285714285,best_jaccard_between_0_and_0.5
CPX-1500,2,151.0,0.3333333333333333,best_jaccard_between_0_and_0.5
CPX-1501,3,139.0,0.14285714285714285,best_jaccard_between_0_and_0.5
CPX-1556,15,33.0,0.2,best_jaccard_between_0_and_0.5
CPX-1599,9,782.0,0.125,best_jaccard_between_0_and_0.5
CPX-1601,10,639.0,0.09523809523809523,best_jaccard_between_0_and_0.5
CPX-1602,45,34.0,0.5454545454545454,best_jaccard_ge_0.5
CPX-1603,32,306.0,0.631578947368421,best_jaccard_ge_0.5
CPX-1606,2,694.0,0.09523809523809523,best_jaccard_between_0_and_0.5
CPX-1610,4,48.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1611,4,48.0,0.4,best_jaccard_between_0_and_0.5
CPX-1612,4,48.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1613,4,48.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1614,4,33.0,0.08333333333333333,best_jaccard_between_0_and_0.5
CPX-1616,2,68.0,0.3333333333333333,best_jaccard_between_0_and_0.5
CPX-3342,2,,0.0,best_jaccard_eq_0
CPX-3384,4,79.0,0.14285714285714285,best_jaccard_between_0_and_0.5
CPX-3462,3,274.0,0.4,best_jaccard_between_0_and_0.5
CPX-3503,3,139.0,0.06666666666666667,best_jaccard_between_0_and_0.5
CPX-3541,2,139.0,0.15384615384615385,best_jaccard_between_0_and_0.5
CPX-3621,2,46.0,0.10526315789473684,best_jaccard_between_0_and_0.5
CPX-3681,5,60.0,0.09090909090909091,best_jaccard_between_0_and_0.5
CPX-824,32,7.0,0.28125,best_jaccard_between_0_and_0.5
CPX-1839,5,202.0,0.38461538461538464,best_jaccard_between_0_and_0.5
CPX-1622,2,265.0,1.0,best_jaccard_ge_0.5
CPX-1623,3,,0.0,best_jaccard_eq_0
CPX-1624,4,154.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1625,6,128.0,0.8571428571428571,best_jaccard_ge_0.5
CPX-1626,6,128.0,0.625,best_jaccard_ge_0.5
CPX-1627,3,622.0,0.2,best_jaccard_between_0_and_0.5
CPX-1628,2,57.0,0.4,best_jaccard_between_0_and_0.5
CPX-1629,5,,0.0,best_jaccard_eq_0
CPX-1630,2,281.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-1631,2,,0.0,best_jaccard_eq_0
CPX-1632,2,304.0,1.0,best_jaccard_ge_0.5
CPX-1633,2,,0.0,best_jaccard_eq_0
CPX-1634,2,278.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-1635,2,278.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-1636,3,60.0,0.1111111111111111,best_jaccard_between_0_and_0.5
CPX-1637,2,772.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1638,8,81.0,0.4,best_jaccard_between_0_and_0.5
CPX-1639,8,81.0,0.4,best_jaccard_between_0_and_0.5
CPX-1640,2,206.0,0.125,best_jaccard_between_0_and_0.5
CPX-1641,4,,0.0,best_jaccard_eq_0
CPX-1642,15,430.0,0.5333333333333333,best_jaccard_ge_0.5
CPX-1643,2,,0.0,best_jaccard_eq_0
CPX-1644,2,,0.0,best_jaccard_eq_0
CPX-1645,2,58.0,0.0625,best_jaccard_between_0_and_0.5
CPX-1646,3,58.0,0.058823529411764705,best_jaccard_between_0_and_0.5
CPX-1647,6,554.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1648,3,353.0,0.058823529411764705,best_jaccard_between_0_and_0.5
CPX-1649,3,,0.0,best_jaccard_eq_0
CPX-1651,43,521.0,0.49206349206349204,best_jaccard_between_0_and_0.5
CPX-1652,7,458.0,0.7777777777777778,best_jaccard_ge_0.5
CPX-1653,5,73.0,1.0,best_jaccard_ge_0.5
CPX-1654,2,708.0,0.2,best_jaccard_between_0_and_0.5
CPX-1655,3,229.0,0.125,best_jaccard_between_0_and_0.5
CPX-1656,6,418.0,1.0,best_jaccard_ge_0.5
CPX-1657,2,546.0,0.18181818181818182,best_jaccard_between_0_and_0.5
CPX-1658,2,115.0,0.2,best_jaccard_between_0_and_0.5
CPX-1659,11,115.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1660,3,11.0,0.15384615384615385,best_jaccard_between_0_and_0.5
CPX-1661,2,94.0,0.125,best_jaccard_between_0_and_0.5
CPX-1662,2,47.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1663,2,50.0,0.058823529411764705,best_jaccard_between_0_and_0.5
CPX-1664,14,462.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-1665,2,,0.0,best_jaccard_eq_0
CPX-1666,2,176.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-1667,2,176.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-1668,2,176.0,0.25,best_jaccard_between_0_and_0.5
CPX-1669,3,110.0,0.5,best_jaccard_ge_0.5
CPX-1670,2,,0.0,best_jaccard_eq_0
CPX-1671,6,199.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-1672,2,202.0,0.07142857142857142,best_jaccard_between_0_and_0.5
CPX-1673,2,,0.0,best_jaccard_eq_0
CPX-1674,2,,0.0,best_jaccard_eq_0
CPX-1675,5,342.0,0.7142857142857143,best_jaccard_ge_0.5
CPX-1676,5,211.0,0.2857142857142857,best_jaccard_between_0_and_0.5
CPX-1677,4,522.0,1.0,best_jaccard_ge_0.5
CPX-1678,4,177.0,0.2222222222222222,best_jaccard_between_0_and_0.5
CPX-1679,4,177.0,0.375,best_jaccard_between_0_and_0.5
CPX-1680,3,177.0,0.1111111111111111,best_jaccard_between_0_and_0.5
CPX-1681,4,28.0,0.09090909090909091,best_jaccard_between_0_and_0.5
CPX-1682,3,45.0,0.25,best_jaccard_between_0_and_0.5
CPX-1683,2,301.0,0.3333333333333333,best_jaccard_between_0_and_0.5
CPX-1684,2,,0.0,best_jaccard_eq_0
CPX-1685,2,123.0,0.5,best_jaccard_ge_0.5
CPX-1687,2,47.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1688,2,38.0,0.2857142857142857,best_jaccard_between_0_and_0.5
CPX-1689,2,38.0,0.125,best_jaccard_between_0_and_0.5
CPX-1690,2,38.0,0.2857142857142857,best_jaccard_between_0_and_0.5
CPX-1691,2,38.0,0.2857142857142857,best_jaccard_between_0_and_0.5
CPX-1692,2,38.0,0.125,best_jaccard_between_0_and_0.5
CPX-1693,2,38.0,0.125,best_jaccard_between_0_and_0.5
CPX-1694,2,38.0,0.125,best_jaccard_between_0_and_0.5
CPX-1695,2,38.0,0.125,best_jaccard_between_0_and_0.5
CPX-1696,2,38.0,0.125,best_jaccard_between_0_and_0.5
CPX-1697,2,38.0,0.125,best_jaccard_between_0_and_0.5
CPX-1698,4,256.0,0.3333333333333333,best_jaccard_between_0_and_0.5
CPX-1699,3,334.0,0.42857142857142855,best_jaccard_between_0_and_0.5
CPX-1700,3,334.0,0.25,best_jaccard_between_0_and_0.5
CPX-1701,2,334.0,0.125,best_jaccard_between_0_and_0.5
CPX-1702,2,334.0,0.125,best_jaccard_between_0_and_0.5
CPX-1703,2,708.0,0.2,best_jaccard_between_0_and_0.5
CPX-1704,2,,0.0,best_jaccard_eq_0
CPX-1705,2,5.0,0.09090909090909091,best_jaccard_between_0_and_0.5
CPX-1706,3,133.0,0.125,best_jaccard_between_0_and_0.5
CPX-1707,2,181.0,0.3333333333333333,best_jaccard_between_0_and_0.5
CPX-1708,3,,0.0,best_jaccard_eq_0
CPX-1709,3,42.0,0.2,best_jaccard_between_0_and_0.5
CPX-1710,3,566.0,0.75,best_jaccard_ge_0.5
CPX-1711,3,671.0,0.1,best_jaccard_between_0_and_0.5
CPX-1712,8,342.0,0.5,best_jaccard_ge_0.5
CPX-1715,4,173.0,0.18181818181818182,best_jaccard_between_0_and_0.5
CPX-1716,4,182.0,0.1111111111111111,best_jaccard_between_0_and_0.5
CPX-1717,6,182.0,0.09090909090909091,best_jaccard_between_0_and_0.5
CPX-1718,4,223.0,0.42857142857142855,best_jaccard_between_0_and_0.5
CPX-1719,5,101.0,0.7142857142857143,best_jaccard_ge_0.5
CPX-1720,3,,0.0,best_jaccard_eq_0
CPX-1721,2,,0.0,best_jaccard_eq_0
CPX-1722,2,,0.0,best_jaccard_eq_0
CPX-1726,5,482.0,0.8333333333333334,best_jaccard_ge_0.5
CPX-1730,2,,0.0,best_jaccard_eq_0
CPX-1731,7,152.0,0.5,best_jaccard_ge_0.5
CPX-1732,2,194.0,1.0,best_jaccard_ge_0.5
CPX-1733,2,570.0,0.05263157894736842,best_jaccard_between_0_and_0.5
CPX-1734,2,570.0,0.05263157894736842,best_jaccard_between_0_and_0.5
CPX-1735,2,422.0,0.06896551724137931,best_jaccard_between_0_and_0.5
CPX-1738,2,275.0,1.0,best_jaccard_ge_0.5
CPX-1739,2,,0.0,best_jaccard_eq_0
CPX-1740,2,,0.0,best_jaccard_eq_0
CPX-1742,2,,0.0,best_jaccard_eq_0
CPX-1743,2,54.0,0.25,best_jaccard_between_0_and_0.5
CPX-1744,3,,0.0,best_jaccard_eq_0
CPX-1786,3,434.0,0.42857142857142855,best_jaccard_between_0_and_0.5
CPX-1787,2,124.0,0.16666666666666666,best_jaccard_between_0_and_0.5
CPX-1793,6,506.0,0.6666666666666666,best_jaccard_ge_0.5
CPX-1892,3,,0.0,best_jaccard_eq_0
CPX-5304,4,434.0,0.5714285714285714,best_jaccard_ge_0.5
CPX-5321,4,58.0,0.05555555555555555,best_jaccard_between_0_and_0.5
CPX-5322,4,58.0,0.05555555555555555,best_jaccard_between_0_and_0.5
CPX-5341,2,301.0,1.0,best_jaccard_ge_0.5
CPX-1887,4,58.0,0.11764705882352941,best_jaccard_between_0_and_0.5
CPX-5401,4,58.0,0.05555555555555555,best_jaccard_between_0_and_0.5
CPX-5421,4,58.0,0.1875,best_jaccard_between_0_and_0.5
CPX-5422,4,58.0,0.1875,best_jaccard_between_0_and_0.5
CPX-5423,4,58.0,0.11764705882352941,best_jaccard_between_0_and_0.5
CPX-5424,4,58.0,0.11764705882352941,best_jaccard_between_0_and_0.5
CPX-5441,2,,0.0,best_jaccard_eq_0
CPX-5442,3,,0.0,best_jaccard_eq_0
CPX-5461,4,58.0,0.11764705882352941,best_jaccard_between_0_and_0.5
CPX-5462,4,58.0,0.11764705882352941,best_jaccard_between_0_and_0.5
CPX-1365,3,,0.0,best_jaccard_eq_0
